shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold
Asus Official Store,ASUS VivoBook 14 A416EA-FHD352 - Slate Grey,https://images.tokopedia.net/img/VqbcmM/2021/6/11/358ada94-638d-4022-9606-564f26dec84a.jpg,https://www.tokopedia.com/asus/asus-vivobook-14-a416ea-fhd352-slate-grey,0,0,7399000,,0
Asus Official Store,ASUS VivoBook 14 A416EA-FHD351 - Transparent Silver,https://images.tokopedia.net/img/VqbcmM/2021/6/11/ae657e2e-a4c0-4eea-bd66-0754b670c459.jpg,https://www.tokopedia.com/asus/asus-vivobook-14-a416ea-fhd351-transparent-silver,0,0,7399000,,0
Asus Official Store,ASUS TUF Dash F15 FX516PE-I7R5B6T-O - Eclipse Gray,https://images.tokopedia.net/img/VqbcmM/2021/6/11/3b5b35b7-a73c-49ef-8ef2-dbd01605c0e0.jpg,https://www.tokopedia.com/asus/asus-tuf-dash-f15-fx516pe-i7r5b6t-o-eclipse-gray,0,0,19999000,,0
Asus Official Store,ASUS ZenBook 14 UX435EG-AI711NP - Pine Grey,https://images.tokopedia.net/img/VqbcmM/2021/6/11/e6e1414d-fa29-4bb7-b183-bb5835420901.jpg,https://www.tokopedia.com/asus/asus-zenbook-14-ux435eg-ai711np-pine-grey,0,0,19499000,,0
Asus Official Store,ASUS ZenBook 13 UX325EA-OLED752 - Lilac Mist,https://images.tokopedia.net/img/VqbcmM/2021/6/11/0172dfbb-0ab3-43cf-97f5-5224af383d4a.jpg,https://www.tokopedia.com/asus/asus-zenbook-13-ux325ea-oled752-lilac-mist,0,0,17999000,,0
Asus Official Store,ASUS ZenBook Pro Duo UX482EG-KA751IPS - Celestial Blue,https://images.tokopedia.net/img/VqbcmM/2021/6/11/1e68a4c5-309b-4dca-ae3d-b230a8b1a55b.jpg,https://www.tokopedia.com/asus/asus-zenbook-pro-duo-ux482eg-ka751ips-celestial-blue,0,0,23999000,,0
Asus Official Store,ASUS ZenBook 14 UX425EA-BM552TS - Lilac Mist,https://images.tokopedia.net/img/VqbcmM/2021/6/11/6f83c58a-800c-4848-988e-e5d1ca5cc92d.jpg,https://www.tokopedia.com/asus/asus-zenbook-14-ux425ea-bm552ts-lilac-mist,0,0,13799000,,0
Asus Official Store,ASUS ZenBook 14 UX425EA-IPS552 - Lilac Mist,https://images.tokopedia.net/img/VqbcmM/2021/6/11/bf32e47b-012f-48fe-a98b-41f23ce390ca.jpg,https://www.tokopedia.com/asus/asus-zenbook-14-ux425ea-ips552-lilac-mist,0,0,14499000,,0
Asus Official Store,ASUS ZenBook 14 UX435EG-AI551NP - Pine Grey,https://images.tokopedia.net/img/VqbcmM/2021/6/11/d11d1411-9b05-4580-8a72-14905c74e5e1.jpg,https://www.tokopedia.com/asus/asus-zenbook-14-ux435eg-ai551np-pine-grey,0,0,16499000,,0
Asus Official Store,ASUS VivoBook A416JA-EK501TS - Transparent Silver,https://images.tokopedia.net/img/VqbcmM/2021/6/11/84cc1092-ed44-4d00-86bb-29829c8a7446.jpg,https://www.tokopedia.com/asus/asus-vivobook-a416ja-ek501ts-transparent-silver,0,0,8199000,,0
Asus Official Store,Asus VivoBook 14 A416EA-FHD522 - Slate Grey,https://images.tokopedia.net/img/VqbcmM/2021/6/11/1d565306-aba4-4745-ab24-7494efe26654.jpg,https://www.tokopedia.com/asus/asus-vivobook-14-a416ea-fhd522-slate-grey,0,0,8899000,,0
Asus Official Store,ASUS VivoBook Ultra 14 K413JQ-VIPS551 Transparent Silver,https://images.tokopedia.net/img/VqbcmM/2021/6/3/35484b95-661e-4265-8420-779f4fc87f2c.jpg,https://www.tokopedia.com/asus/asus-vivobook-ultra-14-k413jq-vips551-transparent-silver,0,0,11449000,,0
Asus Official Store,ASUS VivoBook Ultra 14 K413JQ-VIPS553 Hearty Gold,https://images.tokopedia.net/img/VqbcmM/2021/6/3/fc0dac80-df8e-4925-8fcd-4955e9fc7d40.jpg,https://www.tokopedia.com/asus/asus-vivobook-ultra-14-k413jq-vips553-hearty-gold,0,0,11449000,,0
