shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold
Dell Official Partner,Dell Inspiron 3480 [Cel-N4205U-4-500-UMA-W10-SLV] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/3/28/45209017/45209017_a6af74b9-e238-486a-b86c-33627b98fd93_900_900,https://www.tokopedia.com/dellid/dell-inspiron-3480-cel-n4205u-4-500-uma-w10-slv-dell-indonesia,8,5,3899000,5,24
Dell Official Partner,Dell Inspiron 3480 [Cel-N4205U-4-500-UMA-W10-BLK] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/11/45209017/45209017_f8750aa2-4dc1-4cd2-97e3-98450f2cd1c1_900_900,https://www.tokopedia.com/dellid/dell-inspiron-3480-cel-n4205u-4-500-uma-w10-blk-dell-indonesia,53,41,3899000,4.8,100
Dell Official Partner,Dell Inspiron 3180 [A9-9420e-4-500-AMD-W10-BLU] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/10/45209017/45209017_f83bf4d1-2091-4c62-bd35-a39148e30ab1_900_900,https://www.tokopedia.com/dellid/dell-inspiron-3180-a9-9420e-4-500-amd-w10-blu-dell-indonesia,8,6,4099000,5,14
Dell Official Partner,"Dell Inspiron 3280 AIO [21.5"", 5405U-4-1T-UMA-W10-BLK] DELL OFFICIAL",https://images.tokopedia.net/img/VqbcmM/2020/11/7/e4be5137-cca5-4953-9ef7-152d6e15653c.jpg,https://www.tokopedia.com/dellid/dell-inspiron-3280-aio-21-5-5405u-4-1t-uma-w10-blk-dell-official,0,0,5399000,,1
Dell Official Partner,Dell Inspiron 3472 SFF [J5005-4-1T-UMA-UBT] + Dell E1916HV,https://images.tokopedia.net/img/product-1/2020/5/5/45209017/45209017_54145c55-a108-43de-af63-601038e537b9_750_750,https://www.tokopedia.com/dellid/dell-inspiron-3472-sff-j5005-4-1t-uma-ubt-dell-e1916hv,0,0,5450000,,1
Dell Official Partner,Dell Inspiron 3481 [Ci3-7020U-4-1T-UMA-W10-SLV] DELL OFFICIAL,https://images.tokopedia.net/img/product-1/2020/7/20/45209017/45209017_d782f614-4bb4-42f0-97cd-1961d4d8c0fe_900_900,https://www.tokopedia.com/dellid/dell-inspiron-3481-ci3-7020u-4-1t-uma-w10-slv-dell-official,13,7,5699000,5,20
Dell Official Partner,Dell Inspiron 3481 [Ci3-7020U-4-1T-UMA-W10-BLK] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/11/45209017/45209017_e8d5e380-bf4a-4910-b7e2-a5e19d8cd890_900_900,https://www.tokopedia.com/dellid/dell-inspiron-3481-ci3-7020u-4-1t-uma-w10-blk-dell-indonesia,9,17,5699000,5,22
Dell Official Partner,Dell Inspiron 3277 AIO [P4415U-4-1T-UMA-UBT-BLK],https://images.tokopedia.net/img/product-1/2020/5/12/45209017/45209017_31a4103d-010f-406b-ba99-4ed26ffcbfd0_800_800,https://www.tokopedia.com/dellid/dell-inspiron-3277-aio-p4415u-4-1t-uma-ubt-blk,0,0,5790000,,1
Dell Official Partner,Dell Inspiron 3881 MT [G-6400-4-1T-UMA-W10-Dell E2016HV] DELL OFFICIAL,https://images.tokopedia.net/img/VqbcmM/2021/1/14/f3be05bd-5258-43c2-997a-2ae965d646d6.jpg,https://www.tokopedia.com/dellid/dell-inspiron-3881-mt-g-6400-4-1t-uma-w10-dell-e2016hv-dell-official,2,0,5799000,5,5
Dell Official Partner,Dell Inspiron 3585 [R3-2200U-4-1T-AMD APU-W10-SLV] DELL OFFICIAL,https://images.tokopedia.net/img/product-1/2020/6/12/45209017/45209017_e61e4455-c066-40ce-bbf3-b822e4f69583_900_900,https://www.tokopedia.com/dellid/dell-inspiron-3585-r3-2200u-4-1t-amd-apu-w10-slv-dell-official,10,3,5799000,4.9,21
Dell Official Partner,Dell Inspiron 3585 [R3-2200U-4-1T-AMD APU-W10-BLK] DELL INDONESIA,https://images.tokopedia.net/img/product-1/2020/1/13/45209017/45209017_c13b7f1d-4d13-464d-ba8e-c79a363afdd3_900_900,https://www.tokopedia.com/dellid/dell-inspiron-3585-r3-2200u-4-1t-amd-apu-w10-blk-dell-indonesia,20,21,5799000,5,39
