shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold
HP Official,HP Laptop 14s-cf1047TU - Intel® Celeron® 4205U - 4 GB -1 TB - W10,https://images.tokopedia.net/img/product-1/2020/5/13/16234150/16234150_dcf9cdae-28fa-4a91-a458-15ccc39c23ce_1000_1000,https://www.tokopedia.com/hp/hp-laptop-14s-cf1047tu-intel-celeron-4205u-4-gb-1-tb-w10,44,51,3949000,4.7,83
HP Official,HP Laptop 14s-cf1046TU - Intel Celeron N4205U - 4 GB - 1 TB - W10,https://images.tokopedia.net/img/product-1/2020/6/10/16234150/16234150_8f6fc308-de7e-461e-9dc7-bd7d91d99a70_1000_1000,https://www.tokopedia.com/hp/hp-laptop-14s-cf1046tu-intel-celeron-n4205u-4-gb-1-tb-w10-gold,147,130,4049000,4.7,283
HP Official,HP Notebook 14s-cf1046tu + HP DeskJet 1115 Printer (Paket SFH),https://images.tokopedia.net/img/product-1/2020/6/10/16234150/16234150_79b04b8d-b22f-41be-bb27-48eba039598e_1000_1000,https://www.tokopedia.com/hp/hp-notebook-14s-cf1046tu-hp-deskjet-1115-printer-paket-sfh,4,7,4488000,5,8
HP Official,[Excl Tokopedia] HP Notebook - 14s-cf2019TU - 4GB - 256GB SSD - W10,https://images.tokopedia.net/img/VqbcmM/2021/2/10/b4624043-85c6-4941-813a-c8cec36dba94.jpg,https://www.tokopedia.com/hp/excl-tokopedia-hp-notebook-14s-cf2019tu-4gb-256gb-ssd-w10,459,182,5299000,4.9,889
HP Official,HP 14s-dq2518TU & dq2519TU Laptop/Intel® Celeron®/4GB/IntelUHD/512GB,https://images.tokopedia.net/img/VqbcmM/2021/4/13/a92f2c0f-a2f8-48dd-96fb-bac1a5781cd4.jpg,https://www.tokopedia.com/hp/hp-14s-dq2518tu-dq2519tu-laptop-intel-celeron-4gb-inteluhd-512gb-silver,48,13,5399000,4.8,79
HP Official,"HP All-in-One 22-df0144d Desktop PC/21.5""/Intel Celeron/4GB/1TB/W10",https://images.tokopedia.net/img/VqbcmM/2020/11/24/9ffb5bab-12fa-4fc8-be0c-61e0c9b22c0a.png,https://www.tokopedia.com/hp/hp-all-in-one-22-df0144d-desktop-pc-21-5-intel-celeron-4gb-1tb-w10,16,5,5462500,4.9,32
HP Official,HP LaserJet Pro MFP M227fdw Printer/Mono/Print Scan Copy Fax,https://images.tokopedia.net/img/product-1/2020/8/31/16234150/16234150_1ba28e66-76cd-40d9-a562-2928051c0550_1000_1000,https://www.tokopedia.com/hp/hp-laserjet-pro-mfp-m227fdw-printer-mono-print-scan-copy-fax,1,1,5490000,5,3
HP Official,HP Laptop 14s-dk1123AU Laptop/AthlonGold/4 GB/AMDRadeon/512GBSSD,https://images.tokopedia.net/img/VqbcmM/2021/5/12/96520c4c-738e-4658-84b9-ebdd27377a5b.jpg,https://www.tokopedia.com/hp/hp-laptop-14s-dk1123au-laptop-athlongold-4-gb-amdradeon-512gbssd,71,25,5999000,5,96
HP Official,HP Laptop 14s- dk1122AU Laptop/AthlonGold/4 GB/AMDRadeon/512GBSSD,https://images.tokopedia.net/img/VqbcmM/2021/5/12/86b04c10-4aee-45db-af69-eb9187adf4cc.png,https://www.tokopedia.com/hp/hp-laptop-14s-dk1122au-laptop-athlongold-4-gb-amdradeon-512gbssd,128,38,5999000,4.9,169
HP Official,HP 14s-cf2076TU Laptop/Core i3/4GB/IntelUHDGraphics/256GBSSD,https://images.tokopedia.net/img/VqbcmM/2021/5/12/f3f0ae41-0f94-4512-a5bc-d735511d46ac.png,https://www.tokopedia.com/hp/hp-14s-cf2076tu-laptop-core-i3-4gb-inteluhdgraphics-256gbssd,90,21,6499000,4.9,136
HP Official,HP 14s-cf2075TU Laptop/Core i3/4GB/IntelUHDGraphics/256GBSSD,https://images.tokopedia.net/img/VqbcmM/2021/5/28/8ff5f65a-e744-4ddd-b206-2b565311f3f9.png,https://www.tokopedia.com/hp/hp-14s-cf2075tu-laptop-core-i3-4gb-inteluhdgraphics-256gbssd,159,26,6499000,4.9,230
HP Official,HP EliteDisplay E243d 23.8-inch Docking Monitor,https://images.tokopedia.net/img/product-1/2020/8/27/16234150/16234150_79665614-8203-4761-898e-cf523759f1d4_1000_1000,https://www.tokopedia.com/hp/hp-elitedisplay-e243d-23-8-inch-docking-monitor,4,3,6599000,5,5
HP Official,HP 14s-cf2508TU Laptop/Pentium Gold 6405U/8GB/IntelUHD/512GBSSD,https://images.tokopedia.net/img/VqbcmM/2021/6/2/56ce6084-8c94-42d1-a586-48cf6aaff8c0.png,https://www.tokopedia.com/hp/hp-14s-cf2508tu-laptop-pentium-gold-6405u-8gb-inteluhd-512gbssd,44,27,6699000,5,98
HP Official,HP 14s-fq0023AU Laptop/AthlonGold/8 GB/AMDRadeonGraphics/512GBSSD,https://images.tokopedia.net/img/VqbcmM/2021/5/12/6c62b1dd-064b-47a1-ba52-5744fadaae9d.png,https://www.tokopedia.com/hp/hp-14s-fq0023au-laptop-athlongold-8-gb-amdradeongraphics-512gbssd,36,20,6699000,4.9,48
HP Official,HP 14s-fq0022AU Laptop/AthlonGold/8 GB/AMDRadeonGraphics/512GBSSD,https://images.tokopedia.net/img/VqbcmM/2021/5/28/e762d9c3-a8a0-4cb3-9365-71ed3048a10a.png,https://www.tokopedia.com/hp/hp-14s-fq0022au-laptop-athlongold-8-gb-amdradeongraphics-512gbssd,93,22,6699000,4.9,130
HP Official,HP 14s-fq0020au Laptop/Ryzen 3/8GB/AMDRadeonGraphics/512GBSSD,https://images.tokopedia.net/img/VqbcmM/2021/5/28/202db8ee-dd8f-496c-912a-71e8d6de930f.png,https://www.tokopedia.com/hp/hp-14s-fq0020au-laptop-ryzen-3-8gb-amdradeongraphics-512gbssd,92,42,6789000,4.9,139
