shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold
MSI Official Store,MSI Optix G24VC Curved Gaming Monitor 24 Inch,https://images.tokopedia.net/img/product-1/2019/4/22/28197332/28197332_fe5172a8-fd70-4b86-bda1-db4d1a628103_500_500,https://www.tokopedia.com/msi-official/msi-optix-g24vc-curved-gaming-monitor-24-inch,1,6,2999000,5,1
MSI Official Store,"MSI MODERN 14 B10MW [9S7-14D114-466] i3-10110U 8GB 256GB 14"" FHD W10",https://images.tokopedia.net/img/VqbcmM/2021/2/15/5acb5e3e-7c29-4da2-a5c5-b64f3defa03e.jpg,https://www.tokopedia.com/msi-official/msi-modern-14-b10mw-9s7-14d114-466-i3-10110u-8gb-256gb-14-fhd-w10,42,33,7799000,5,64
MSI Official Store,MSI Optix MPG27CQ Curved Gaming Monitor 27 Inch,https://images.tokopedia.net/img/product-1/2019/4/30/3145751/3145751_35032c7a-262c-4019-966d-838ed2264853.png,https://www.tokopedia.com/msi-official/msi-optix-mpg27cq-curved-gaming-monitor-27-inch,0,2,8232000,,1
MSI Official Store,"MSI MODERN 14 B4MW [9S7-14DK14-292] Ryzen 3 4300 8GB 512GB 14"" FHD W10",https://images.tokopedia.net/img/VqbcmM/2021/4/7/f87f131f-66f0-4990-9be3-005bba984ee0.jpg,https://www.tokopedia.com/msi-official/msi-modern-14-b4mw-9s7-14dk14-292-ryzen-3-4300-8gb-512gb-14-fhd-w10,50,71,8299000,5,74
MSI Official Store,"MSI MODERN 14 B10MW [9S7-14D114-278] i3-10110U 8GB 512GB 14"" FHD W10",https://images.tokopedia.net/img/VqbcmM/2020/12/9/ed856c10-798a-4b72-8b87-47ec0dc174df.jpg,https://www.tokopedia.com/msi-official/msi-modern-14-b10mw-9s7-14d114-278-i3-10110u-8gb-512gb-14-fhd-w10,71,75,8399000,4.9,98
MSI Official Store,"MSI MODERN 14 B10MW [9S7-14D114-279] i3-10110U 8GB 512GB 14"" FHD W10",https://images.tokopedia.net/img/VqbcmM/2020/12/9/24a0fa0d-d8be-4bff-9873-79c7d53597fa.jpg,https://www.tokopedia.com/msi-official/msi-modern-14-b10mw-9s7-14d114-279-i3-10110u-8gb-512gb-14-fhd-w10,24,29,8399000,4.7,28
MSI Official Store,MSI Notebook GF63 9SC [9S7-16R312-621] - Black,https://images.tokopedia.net/img/product-1/2019/10/30/28197332/28197332_1fe25067-9f92-4227-a515-d875a04585f2_500_500,https://www.tokopedia.com/msi-official/msi-notebook-gf63-9sc-9s7-16r312-621-black,9,12,10000000,5,11
MSI Official Store,MSI Modern 14 B11MO [9S7-14D314-071] i5-1135G7 8GB 512GB INTEL iRIS Xe,https://images.tokopedia.net/img/VqbcmM/2021/2/15/4fa20fa5-0c94-4ef1-b01a-035cdc895384.jpg,https://www.tokopedia.com/msi-official/msi-modern-14-b11mo-9s7-14d314-071-i5-1135g7-8gb-512gb-intel-iris-xe,64,51,10499000,4.7,86
MSI Official Store,MSI Modern 14 B11MO [9S7-14D312-072] i5-1135G7 8GB 512GB INTEL iRIS Xe,https://images.tokopedia.net/img/VqbcmM/2021/2/15/8923c0be-03f9-4143-a2d9-087fbe37946b.jpg,https://www.tokopedia.com/msi-official/msi-modern-14-b11mo-9s7-14d312-072-i5-1135g7-8gb-512gb-intel-iris-xe,35,18,10499000,5,52
MSI Official Store,MSI Modern 14 B10RBSW [9S7-14D112-247] i5-10210U 8GB 512GB MX350 2GB,https://images.tokopedia.net/img/VqbcmM/2020/10/18/fe0956ab-2f26-4156-a982-5f50ba68fd68.png,https://www.tokopedia.com/msi-official/msi-modern-14-b10rbsw-9s7-14d112-247-i5-10210u-8gb-512gb-mx350-2gb,39,46,10999000,4.9,55
MSI Official Store,MSI Modern 14 B10RBSW [9S7-14D114-277] i5-10210U 8GB 512GB MX350 2GB,https://images.tokopedia.net/img/VqbcmM/2020/12/9/f4c89e63-0c92-4545-ba28-9d0f23628f68.jpg,https://www.tokopedia.com/msi-official/msi-modern-14-b10rbsw-9s7-14d114-277-i5-10210u-8gb-512gb-mx350-2gb,38,29,10999000,4.9,53
