shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold,revenue,kelas
Acer Store,Acer Aspire 3 A314-32-C6KM [N4120/4GB/256GBSSD/W10/OHS] [NX.GVYSN.00B],https://images.tokopedia.net/img/VqbcmM/2020/11/10/18473e61-a1ad-4fe0-9e4d-921363fafead.jpg,https://www.tokopedia.com/acer-store/acer-aspire-3-a314-32-c6km-n4120-4gb-256gbssd-w10-ohs-nx-gvysn-00b,35,6,4749000,5.0,69,327681000,Bawah
Acer Store,"ACER Aspire 3 A314-22-R6MN [14""/A3050U/4GB/256GB] Black NX.HVVSN.009",https://images.tokopedia.net/img/VqbcmM/2021/4/27/99eb1a73-e336-4f95-8dd9-6b3af831ac70.jpg,https://www.tokopedia.com/acer-store/acer-aspire-3-a314-22-r6mn-14-a3050u-4gb-256gb-black-nx-hvvsn-009,6,2,4999000,4.7,10,49990000,Bawah
Acer Store,Acer Aspire 3 Slim A314-22-R1KF [3050U/W10+OHS] Black [NX.HVVSN.00F],https://images.tokopedia.net/img/VqbcmM/2020/12/21/c8845a09-6fbb-4fff-b6cf-5fe760d62234.jpg,https://www.tokopedia.com/acer-store/acer-aspire-3-slim-a314-22-r1kf-3050u-w10-ohs-black-nx-hvvsn-00f,2,6,5099000,5.0,2,10198000,Bawah
Acer Store,"Acer Aspire 3 A314-35-C2T9 (14""/N5100/4GB/SSD256) Blue (NX.A7TSN.001)",https://images.tokopedia.net/img/VqbcmM/2021/3/4/fabef8f6-e042-4a25-a1cc-35ee9331f399.jpg,https://www.tokopedia.com/acer-store/acer-aspire-3-a314-35-c2t9-14-n5100-4gb-ssd256-blue-nx-a7tsn-001,5,0,5199000,5.0,5,25995000,Bawah
Acer Store,[BUNDLING] Acer Aspire 3 A314-32-C6KM + Canon Printer MG2570s,https://images.tokopedia.net/img/VqbcmM/2021/1/20/2d9c0810-e345-4cbd-8f04-d95f38819270.jpg,https://www.tokopedia.com/acer-store/bundling-acer-aspire-3-a314-32-c6km-canon-printer-mg2570s,5,2,5299000,4.8,12,63588000,Bawah
Acer Store,"Acer Swift 1 SF114-34-P2VU (14""FHD/N6000/4G/SSD512) SLVER NX.A77SN.002",https://images.tokopedia.net/img/VqbcmM/2021/3/3/2d817602-bbc4-4188-af6e-6fdf552aead7.jpg,https://www.tokopedia.com/acer-store/acer-swift-1-sf114-34-p2vu-14-fhd-n6000-4g-ssd512-slver-nx-a77sn-002,12,9,6499000,4.9,19,123481000,Bawah
Acer Store,Acer Swift 1 SF114-34-P3ZB (14'FHD/N6000/4G/SSD512G) GOLD NX.A7BSN.004,https://images.tokopedia.net/img/VqbcmM/2021/3/1/6339adfd-39bd-465f-a08b-8847ed21b647.jpg,https://www.tokopedia.com/acer-store/acer-swift-1-sf114-34-p3zb-14-fhd-n6000-4g-ssd512g-gold-nx-a7bsn-004,5,3,6499000,5.0,14,90986000,Bawah
Acer Store,"Acer Aspire 5 A514-53-38Y5 (14""FHD/i3-1005G1/4G) Silver NX.HUPSN.002",https://images.tokopedia.net/img/VqbcmM/2021/3/24/e35a7f7e-b0ea-42e3-a641-0607c0b20460.jpg,https://www.tokopedia.com/acer-store/acer-aspire-5-a514-53-38y5-14-fhd-i3-1005g1-4g-silver-nx-hupsn-002,14,11,6699000,4.4,21,140679000,Bawah
Acer Store,Acer Aspire 5 A514-53-36N5 (i3-1005G1/4G/SSD512) BLACK (NX.HUNSN.004),https://images.tokopedia.net/img/VqbcmM/2021/2/26/386e6ba2-3ed1-4928-8b01-3bc16b02356a.jpg,https://www.tokopedia.com/acer-store/acer-aspire-5-a514-53-36n5-i3-1005g1-4g-ssd512-black-nx-hunsn-004,42,30,6699000,4.8,60,401940000,Bawah
Acer Store,Acer Aspire 5 A514-53-32F7(i3-1005G1/4GB/SSD512) Black (NX.HUNSN.002),https://images.tokopedia.net/img/VqbcmM/2021/2/14/710e22c1-6def-4e58-9e9f-746e7f5e39d0.jpg,https://www.tokopedia.com/acer-store/acer-aspire-5-a514-53-32f7-i3-1005g1-4gb-ssd512-black-nx-hunsn-002,41,6,6799000,4.8,57,387543000,Bawah
